latitude,longitude
-66.541664,-83.708336
-66.541664,-81.208336
-66.541664,-78.708336
-66.541664,-76.208336
-66.53283,-73.71212
-66.53283,-71.219696
-66.19929,-68.93253
-65.96032,-66.894844
-65.44445,-64.80556
-66.589745,-60.346153
-65.503235,-45.817963
-65.667725,-43.47152
-65.75,-41.208332
-65.75,-38.708332
-65.66453,-36.44765
-65.74709,-33.472416
-66.3536,-31.05895
-66.541664,-28.708334
-66.541664,-26.208334
-66.541664,-23.708334
-66.541664,-21.208334
-66.541664,-18.708334
-66.541664,-16.208334
-66.541664,-13.708333
-66.541664,-11.208333
-66.541664,-8.708333
-66.541664,-6.2083335
-66.541664,-3.7083333
-66.541664,-1.2083334
-66.541664,1.2916666
-66.541664,3.7916667
-66.541664,6.2916665
-66.541664,8.791667
-66.541664,11.291667
-66.541664,13.791667
-66.541664,16.291666
-66.541664,18.791666
-66.541664,21.291666
-66.541664,23.791666
-66.541664,26.291666
-66.541664,28.791666
-66.53492,31.285849
-66.5,33.791668
-66.52809,36.30103
-66.541664,38.791668
-66.5184,41.28124
-66.3206,43.736015
-66.19568,46.205696
-66.02631,48.782166
-65.672905,51.053967
-65.51115,53.784504
-65.62875,56.428516
-66.00822,58.862423
-65.94393,61.153908
-65.76326,63.78629
-65.611115,66.06944
-65.5,68.791664
-65.73,71.395
-65.75,73.791664
-65.72126,76.39512
-65.81305,78.82453
-65.99179,81.19566
-65.74169,83.74117
-65.662735,86.14534
-65.636986,89.01712
-65.760574,91.25284
-65.73606,93.985466
-65.53646,95.145836
-66.0573,98.30729
-65.416664,102.208336
-65.81456,107.03756
-65.8625,108.00834
-65.791664,111.33115
-65.666664,113.70833
-65.5,117.166664
-65.55907,118.779015
-65.52492,120.950935
-66.333336,123.458336
-66.17424,126.795456
-66.41071,129.33928
-65.502106,130.98312
-65.495964,133.3656
-66.18055,137.14583
-66.20833,137.625
-66.666664,143.45
-66.666664,145.66667
-65.87774,154.58183
-66.492516,156.35904
-66.541664,158.79167
-66.54449,161.27426
-66.51218,163.79445
-66.53874,166.29572
-66.541664,168.79167
-66.541664,171.29167
-66.541664,173.79167
-66.541664,176.29167
-66.541664,178.75
-64.083336,-178.70833
-64.083336,-176.20833
-64.083336,-173.70833
-64.083336,-171.20833
-64.083336,-168.70833
-64.083336,-166.20833
-64.083336,-163.70833
-64.083336,-161.20833
-64.083336,-158.70833
-64.083336,-156.20833
-64.083336,-153.70833
-64.083336,-151.20833
-64.083336,-148.70833
-64.083336,-146.20833
-64.083336,-143.70833
-64.083336,-141.20833
-64.083336,-138.70833
-64.083336,-136.20833
-64.083336,-133.70833
-64.083336,-131.20833
-64.083336,-128.70833
-64.083336,-126.208336
-64.083336,-123.708336
-64.083336,-121.208336
-64.083336,-118.708336
-64.083336,-116.208336
-64.083336,-113.708336
-64.083336,-111.208336
-64.083336,-108.708336
-64.083336,-106.208336
-64.083336,-103.708336
-64.083336,-101.208336
-64.083336,-98.708336
-64.083336,-96.208336
-64.083336,-93.708336
-64.083336,-91.208336
-64.083336,-88.708336
-64.083336,-86.208336
-64.083336,-83.708336
-64.083336,-81.208336
-64.083336,-78.708336
-64.083336,-76.208336
-64.083336,-73.708336
-64.083336,-71.208336
-64.083336,-68.708336
-64.03715,-66.23223
